Date;Open;High;Low;Close;Adj Close;Volume
2017-01-02;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8318813443183899;0
2017-01-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8318813443183899;0
2017-01-04;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8318813443183899;0
2017-01-05;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-06;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-09;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-11;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-12;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-13;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-16;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-18;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-19;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-20;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-23;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-24;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-26;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-27;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-30;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-01-31;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-01;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-02;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-06;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-07;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-08;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-09;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-13;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-14;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-15;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-16;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-20;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-21;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-22;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-23;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-02-24;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-01;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-02;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-06;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-07;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-08;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-09;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-13;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-14;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-15;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-16;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-20;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-21;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-22;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-23;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-24;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-27;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-28;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-29;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-30;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-03-31;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-04;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-05;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-06;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-07;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-11;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-12;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-13;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-18;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-19;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-20;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-24;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-25;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-26;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-27;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-04-28;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-02;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-04;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-05;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-08;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-09;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-11;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-12;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-15;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-16;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-18;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-19;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-22;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-23;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-24;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-25;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-26;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-29;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-30;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-05-31;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-01;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-02;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-05;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-06;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-07;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-08;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-09;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-12;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-13;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-14;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-15;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-16;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-19;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-20;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-21;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-22;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-23;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-26;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-27;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-28;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-29;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-06-30;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-07-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-07-04;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-07-05;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.8945738077163696;0
2017-07-06;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-07;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-11;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-12;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-13;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-14;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-18;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-19;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-20;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-21;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-24;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-25;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-26;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-27;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-28;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-07-31;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-01;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-02;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-03;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-04;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-07;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-08;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-09;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-10;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-11;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-14;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-15;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-16;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-17;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
2017-08-18;1.149999976158142;1.149999976158142;1.149999976158142;1.149999976158142;0.9414412975311279;0
